Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast
1595,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1574,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1587,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1597,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1524,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1573,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1591,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1522,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1576,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1578,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1572,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1581,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1521,Azul,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1584,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1586,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1379,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1542,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1579,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1541,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1593,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1441,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1545,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1443,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1598,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1435,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1439,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1440,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1577,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1527,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1525,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1421,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1438,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1536,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1543,Azul,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1400,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1404,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1534,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1381,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1532,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1528,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1533,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1424,Azul,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1531,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1416,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1450,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1401,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1417,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1523,Amarillo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1419,Rojo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1422,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1448,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1452,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1434,Azul,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1537,Amarillo,Colonia Segura/Apoyo a Madres/Certeza jurídica,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
